symbol,tf,macd,adx_thr,vol_lb,tgt_vol,IS_Sharpe,IS_MaxDD,IS_Trades,OOS_Sharpe,OOS_MaxDD,OOS_Trades
SOL-USD,1h,8/24/9,20,30,0.02,0.0,-26.641387434627294,725,0.3823324816757035,-5.887578650738867,300
SOL-USD,1h,8/24/9,20,30,0.015,0.0,-25.79461470845158,725,0.3733380346718698,-5.887368265117033,300
SOL-USD,1h,8/26/9,25,20,0.02,0.0,-28.18059188762274,527,0.3712655951291846,-5.51162960831566,230
SOL-USD,1h,8/24/9,20,20,0.02,0.0,-26.452092890258783,725,0.3527508177865027,-5.887378007622801,300
SOL-USD,4h,8/24/9,20,20,0.02,0.0,-11.914661088844468,193,0.320617302577395,-3.1273765775601037,65
SOL-USD,1h,8/24/9,20,20,0.015,0.0,-25.171167014722585,725,0.3101032446349373,-5.887409379752784,300
SOL-USD,4h,8/24/9,20,30,0.02,0.0,-11.534188161931302,193,0.29589772383271323,-3.127379548021636,65
SOL-USD,4h,12/24/9,30,20,0.015,0.0,-10.354426406241812,112,0.24606950648529188,-4.169252503422904,29
SOL-USD,4h,12/24/9,30,30,0.015,0.0,-10.791265553252439,112,0.23816588035805267,-4.305313520381082,29
SOL-USD,4h,12/24/9,30,20,0.02,0.0,-11.213457019159623,112,0.2270731137816534,-4.305610994267628,29
SOL-USD,4h,12/26/9,30,20,0.015,0.0,-10.809105430051035,110,0.15778881079248802,-4.16937375342421,33
SOL-USD,4h,12/26/9,30,30,0.015,0.0,-11.294981721332098,110,0.15113730098957343,-4.3055065083471895,33
SOL-USD,4h,8/26/9,20,30,0.015,0.1183212840295798,-9.783361857506922,192,0.14024134422028828,-3.503693554023568,67
SOL-USD,4h,12/24/9,30,30,0.02,0.0,-12.103407168432657,112,0.13851863670029832,-4.305360395329327,29
SOL-USD,4h,12/26/9,30,20,0.02,0.0,-11.693958146314687,110,0.13386021868465048,-4.305462278815487,33
SOL-USD,4h,8/26/9,20,20,0.015,0.15203464904511052,-9.885772852316121,192,0.11562777994215093,-3.506421161270168,67
SOL-USD,4h,12/26/9,20,30,0.015,0.0,-13.515558854827358,168,0.08247775947920372,-4.022228836003361,59
SOL-USD,1h,8/24/9,25,30,0.015,0.0,-24.968450630047645,532,0.07468224466486427,-6.867954575808188,239
SOL-USD,4h,12/26/9,30,30,0.02,0.0,-12.66474031266176,110,0.0541361071109612,-4.30525736556292,33
SOL-USD,1h,8/24/9,25,30,0.02,0.0,-25.750843471081097,532,0.032160364627269754,-6.867633392574746,239
SOL-USD,1h,8/24/9,25,20,0.015,0.0,-24.176939211200455,532,0.009311277671502416,-6.867985275897281,239
SOL-USD,1h,8/24/9,25,20,0.02,0.0,-25.54952783575679,532,0.006676692422015945,-6.867749286259672,239
SOL-USD,1h,8/24/9,30,20,0.015,0.0,-24.824022761943965,371,0.0,-8.624746124859096,162
SOL-USD,1h,8/24/9,30,20,0.02,0.0,-27.129889591965462,371,0.0,-8.334410102825574,162
SOL-USD,1h,8/24/9,30,30,0.015,0.0,-25.53005781188539,371,0.0,-8.343703615924591,162
